,ROI,SystemTime,Timestamp,Pos,Left,Right
0,1,0,0,"(0.0, 0.0, 0.0)",0,0
1,1,63722466945984,1362073,"(0.3, -2.0, 9.4)",1,1
2,1,63722466946059,1362140,"(0.3, -2.1, 10.0)",1,1
3,1,63722466953760,1369847,"(-3.1, -0.5, 10.0)",1,1
4,1,63722466953868,1369955,"(-3.0, -0.3, 10.0)",1,1
5,1,63722466953924,1370013,"(-3.3, -0.2, 10.0)",1,1
6,1,63722466953966,1370055,"(-3.1, 0.1, 10.0)",1,1
7,1,63722466954011,1370096,"(-2.8, -0.1, 10.0)",1,1
8,1,63722466954052,1370138,"(-2.9, 0.2, 10.0)",1,1
9,1,63722466954097,1370180,"(-2.0, 0.9, 10.0)",1,1
10,1,63722466954148,1370230,"(-1.5, 1.6, 10.0)",1,1
11,1,63722466954191,1370280,"(-1.7, 1.8, 10.0)",1,1
12,1,63722466954235,1370321,"(-1.4, 1.9, 10.0)",1,1
13,1,63722466954283,1370371,"(-1.8, 1.9, 10.0)",1,1
14,1,63722466954323,1370413,"(-1.0, 4.0, 10.0)",1,1
15,1,63722466954415,1370496,"(-0.7, 4.6, 10.0)",1,1
16,1,63722466954458,1370546,"(-1.0, 4.5, 10.0)",1,1
17,1,63722466954500,1370588,"(-0.6, 4.7, 10.0)",1,1
18,1,63722466954542,1370630,"(-0.6, 4.7, 10.0)",1,1
19,1,63722466954601,1370688,"(1.1, 5.0, 10.0)",1,1
20,1,63722466954647,1370730,"(0.9, 5.0, 10.0)",1,1
21,1,63722466954688,1370771,"(0.9, 5.0, 10.0)",1,1
22,1,63722466954731,1370821,"(1.1, 4.9, 10.0)",1,1
23,1,63722466954777,1370863,"(0.7, 4.6, 10.0)",1,1
24,1,63722466954831,1370921,"(0.8, 4.7, 10.0)",1,1
25,1,63722466954878,1370963,"(0.7, 4.7, 10.0)",1,1
26,1,63722466954921,1371005,"(0.7, 4.7, 10.0)",1,1
27,1,63722466954963,1371046,"(0.7, 4.7, 10.0)",1,1
28,1,63722466955007,1371088,"(-1.1, 3.0, 10.0)",1,1
29,1,63722466955063,1371138,"(-1.6, 2.2, 10.0)",1,1
30,1,63722466955108,1371196,"(-1.6, 2.2, 10.0)",1,1
31,1,63722466955150,1371238,"(-1.7, 2.2, 10.0)",1,1
32,1,63722466955196,1371280,"(-1.6, 2.2, 10.0)",1,1
33,1,63722466955240,1371321,"(-1.6, 2.1, 10.0)",1,1
34,1,63722466955305,1371388,"(-1.6, 2.1, 10.0)",1,1
35,1,63722466955352,1371438,"(-1.8, 0.4, 10.0)",0.6341898,0.5591931
36,1,63722466955390,1371479,"(-1.5, -1.3, 10.0)",0.09227347,0
37,1,63722466955437,1371521,"(-2.0, 0.2, 10.0)",0.7299609,0.6211562
38,1,63722466955480,1371563,"(-2.2, 0.7, 10.0)",0.9193677,0.9369333
39,1,63722466955537,1371621,"(-2.3, 0.8, 10.0)",1,1
40,1,63722466955579,1371663,"(-2.3, 0.9, 10.0)",1,1
41,1,63722466955623,1371713,"(-2.1, 0.9, 10.0)",1,1
42,1,63722466955666,1371754,"(-2.6, 1.1, 10.0)",1,1
43,1,63722466955708,1371796,"(-2.7, 1.2, 10.0)",1,1
44,1,63722466955758,1371846,"(-2.8, 1.3, 10.0)",1,1
45,1,63722466955799,1371888,"(-2.8, 1.3, 10.0)",1,1
46,1,63722466955842,1371929,"(-2.8, 1.3, 10.0)",1,1
47,1,63722466955892,1371979,"(-2.7, 1.3, 10.0)",1,1
48,1,63722466955939,1372021,"(-2.6, 1.3, 10.0)",1,1
49,1,63722466955989,1372071,"(-2.6, 1.2, 10.0)",1,1
50,1,63722466956030,1372113,"(-2.4, 1.3, 10.0)",1,1
51,1,63722466956076,1372163,"(-0.5, -0.2, 10.0)",1,1
52,1,63722466956118,1372204,"(-0.1, -0.4, 10.0)",1,1
53,1,63722466956164,1372246,"(0.0, -0.5, 10.0)",1,1
54,1,63722466956227,1372313,"(-0.1, -0.5, 10.0)",1,1
55,1,63722466956269,1372354,"(-0.1, -0.4, 10.0)",1,1
56,1,63722466956311,1372396,"(-0.4, -0.5, 10.0)",1,1
57,1,63722466956361,1372446,"(-0.4, -0.5, 10.0)",1,1
58,1,63722466956407,1372496,"(-0.4, -0.5, 10.0)",1,1
59,1,63722466956469,1372554,"(-1.7, -1.6, 10.0)",1,1
60,1,63722466956511,1372596,"(-2.7, -2.3, 10.0)",0.9356062,0.8660765
61,1,63722466956554,1372638,"(-2.7, -2.4, 10.0)",0.8743634,0.6865501
62,1,63722466956600,1372688,"(-2.7, -2.6, 10.0)",0.8904727,0.631048
63,1,63722466956645,1372729,"(-2.7, -2.7, 10.0)",0.855741,0.6156192
64,1,63722466956699,1372788,"(-2.7, -2.6, 10.0)",0.8480635,0.6067052
65,1,63722466956741,1372829,"(-2.7, -2.6, 10.0)",0.8496115,0.6110635
66,1,63722466956785,1372871,"(-1.8, -1.4, 10.0)",0.6807137,0.4603989
67,1,63722466956824,1372913,"(-1.9, -1.5, 10.0)",0.7151088,0.5460436
68,1,63722466956869,1372954,"(-1.7, -1.6, 10.0)",0.7642817,0.609197
69,1,63722466956926,1373012,"(-1.7, -1.5, 10.0)",0.7639837,0.6077399
70,1,63722466956966,1373054,"(-1.8, -1.4, 10.0)",0.78783,0.6732023
71,1,63722466957007,1373096,"(-1.8, -1.4, 10.0)",0.8194323,0.6229447
72,1,63722466957045,1373129,"(-1.7, -1.4, 10.0)",0.8387958,0.6681792
73,1,63722466957085,1373171,"(-1.6, -1.4, 10.0)",0.8478363,0.6475303
74,1,63722466957142,1373229,"(-1.5, -1.4, 10.0)",0.8515882,0.6372833
75,1,63722466957191,1373279,"(-1.5, -1.4, 10.0)",0.8740637,0.6615652
76,1,63722466957234,1373321,"(-1.5, -1.4, 10.0)",0.8782367,0.6827548
77,1,63722466957285,1373371,"(-1.5, -1.5, 10.0)",0.8943789,0.6590837
78,1,63722466957329,1373412,"(-1.6, -1.5, 10.0)",0.8849095,0.699468
79,1,63722466957396,1373479,"(-1.7, -1.4, 10.0)",0.8130655,0.6261973
80,1,63722466957439,1373521,"(-2.3, 0.5, 10.0)",0.8304443,0.707017
81,1,63722466957483,1373571,"(-2.0, 0.7, 10.0)",1,1
82,1,63722466957529,1373612,"(-2.1, 0.9, 10.0)",1,1
83,1,63722466957575,1373662,"(-2.1, 0.9, 10.0)",1,1
84,1,63722466957632,1373721,"(-1.8, 1.2, 10.0)",1,1
85,1,63722466957678,1373762,"(-1.9, 1.4, 10.0)",1,1
86,1,63722466957720,1373804,"(-1.8, 1.3, 10.0)",1,1
87,1,63722466957764,1373846,"(-1.8, 1.3, 10.0)",1,1
88,1,63722466957810,1373896,"(-1.7, 1.4, 10.0)",1,1
89,1,63722466957866,1373954,"(-1.8, 1.3, 10.0)",1,1
90,1,63722466957911,1373996,"(-1.9, 1.3, 10.0)",1,1
91,1,63722466957954,1374037,"(-1.9, 1.2, 10.0)",1,1
92,1,63722466957994,1374079,"(-1.8, 1.2, 10.0)",1,1
93,1,63722466958035,1374121,"(-1.8, 1.2, 10.0)",1,1
94,1,63722466958090,1374179,"(-1.8, 1.3, 10.0)",1,1
95,1,63722466958134,1374221,"(-1.6, 1.3, 10.0)",1,1
96,1,63722466958179,1374262,"(-1.6, 1.2, 10.0)",1,1
97,1,63722466958226,1374312,"(-1.6, 1.2, 10.0)",1,1
98,1,63722466958268,1374354,"(-1.6, 1.2, 10.0)",1,1
99,1,63722466958332,1374421,"(-1.6, 1.2, 10.0)",1,1
100,1,63722466958380,1374462,"(-1.7, 1.3, 10.0)",1,1
101,1,63722466958421,1374512,"(-1.4, -1.0, 10.0)",0.1612601,0.1320619
102,1,63722466958517,1374604,"(-1.4, -0.1, 10.0)",0.5612202,0.287689
103,1,63722466958557,1374645,"(-1.5, 1.0, 10.0)",0.9040223,0.9175931
104,1,63722466958601,1374687,"(-1.4, 1.0, 10.0)",1,1
105,1,63722466958644,1374729,"(-1.5, 1.1, 10.0)",1,1
106,1,63722466958688,1374770,"(-1.5, 1.2, 10.0)",1,1
107,1,63722466958741,1374829,"(-1.5, 1.2, 10.0)",1,1
108,1,63722466958790,1374879,"(-1.5, 1.2, 10.0)",1,1
109,1,63722466958832,1374920,"(-1.4, 1.2, 10.0)",1,1
110,1,63722466958877,1374962,"(-1.4, 1.2, 10.0)",1,1
111,1,63722466958917,1375004,"(-1.4, 1.2, 10.0)",1,1
112,1,63722466958970,1375054,"(-1.4, 1.2, 10.0)",1,1
113,1,63722466959010,1375095,"(-1.4, 1.2, 10.0)",1,1
114,1,63722466959054,1375137,"(-1.4, 1.2, 10.0)",1,1
115,1,63722466959095,1375179,"(-1.3, 1.2, 10.0)",1,1
116,1,63722466959135,1375220,"(-1.3, 1.3, 10.0)",1,1
117,1,63722466959190,1375279,"(-1.3, 1.3, 10.0)",1,1
118,1,63722466959236,1375320,"(0.3, 2.2, 10.0)",1,1
119,1,63722466959281,1375362,"(1.3, 3.0, 10.0)",1,1
120,1,63722466959324,1375412,"(1.1, 3.0, 10.0)",1,1
121,1,63722466959378,1375462,"(1.2, 3.2, 10.0)",1,1
122,1,63722466959439,1375520,"(-1.2, 3.8, 10.0)",1,1
123,1,63722466959482,1375570,"(-2.3, 4.1, 10.0)",1,1
124,1,63722466959523,1375612,"(-2.4, 4.0, 10.0)",1,1
125,1,63722466959566,1375654,"(-2.4, 4.1, 10.0)",1,1
126,1,63722466959609,1375695,"(-2.4, 4.2, 10.0)",1,1
127,1,63722466959641,1375729,"(-1.8, 4.1, 10.0)",1,1
128,1,63722466959658,1375745,"(0.2, 3.9, 10.0)",1,1
129,1,63722466959678,1375762,"(1.2, 3.5, 10.0)",1,1
130,1,63722466959711,1375795,"(1.5, 3.5, 10.0)",1,1
131,1,63722466959744,1375829,"(1.4, 3.4, 10.0)",1,1
132,1,63722466959778,1375870,"(1.5, 3.4, 10.0)",1,1
133,1,63722466959812,1375895,"(1.6, 3.5, 10.0)",1,1
134,1,63722466959845,1375929,"(1.5, 3.5, 10.0)",1,1
135,1,63722466959877,1375962,"(0.4, 3.5, 10.0)",1,1
136,1,63722466959912,1375995,"(-2.6, 4.5, 10.0)",1,1
137,1,63722466959945,1376028,"(-2.8, 4.5, 10.0)",1,1
138,1,63722466959977,1376062,"(-2.8, 4.6, 10.0)",1,1
139,1,63722466960001,1376087,"(-2.8, 4.6, 10.0)",1,1
140,1,63722466960022,1376112,"(-2.8, 4.6, 10.0)",1,1
141,1,63722466960044,1376128,"(-2.8, 4.6, 10.0)",1,1
142,1,63722466960066,1376153,"(-2.8, 4.6, 10.0)",1,1
143,1,63722466960089,1376178,"(-2.8, 4.6, 10.0)",1,1
144,1,63722466960111,1376195,"(-1.8, 4.4, 10.0)",1,1
145,1,63722466960133,1376220,"(0.3, 3.5, 10.0)",1,1
146,1,63722466960156,1376245,"(1.2, 3.2, 10.0)",1,1
147,1,63722466960177,1376262,"(1.1, 3.3, 10.0)",1,1
148,1,63722466960205,1376287,"(0.8, 3.2, 10.0)",1,1
149,1,63722466960224,1376312,"(0.9, 3.3, 10.0)",1,1
150,1,63722466960243,1376328,"(1.0, 3.3, 10.0)",1,1
151,1,63722466960280,1376370,"(1.0, 3.3, 10.0)",1,1
152,1,63722466960307,1376387,"(1.0, 3.3, 10.0)",1,1
153,1,63722466960325,1376412,"(1.1, 3.2, 10.0)",1,1
154,1,63722466960344,1376428,"(1.1, 3.2, 10.0)",1,1
155,1,63722466960363,1376453,"(1.1, 3.2, 10.0)",1,1
156,1,63722466960382,1376470,"(1.1, 3.2, 10.0)",1,1
157,1,63722466960401,1376487,"(1.1, 3.2, 10.0)",1,1
158,1,63722466960423,1376512,"(1.1, 3.2, 10.0)",1,1
159,1,63722466960445,1376528,"(1.1, 3.2, 10.0)",1,1
160,1,63722466960470,1376553,"(1.1, 3.2, 10.0)",1,1
161,1,63722466960490,1376578,"(1.0, 3.0, 10.0)",1,1
162,1,63722466960510,1376595,"(-0.3, 1.7, 10.0)",1,1
163,1,63722466960533,1376620,"(-0.3, 1.3, 10.0)",1,1
164,1,63722466960555,1376645,"(-0.3, 1.2, 10.0)",1,1
165,1,63722466960577,1376662,"(-0.4, 1.3, 10.0)",1,1
166,1,63722466960600,1376687,"(-0.4, 1.3, 10.0)",1,1
167,1,63722466960622,1376703,"(-0.5, 1.2, 10.0)",1,1
